Title,Author,Avg rating,Number of Ratings,Year Published,Score
Be Your Future Self Now: The Science of Intentional Transformation,Benjamin P. Hardy,4.32,1495,2022,9.3746412
An Astronaut's Guide to Life on Earth,Chris Hadfield,4.16,58453,2013,9.3668068
Necessary Endings,Henry Cloud,4.27,4642,2011,9.3667051
See You at the Top,Zig Ziglar,4.22,14506,,9.3615477
The Master-Key to Riches: The World-Famous Philosophy of Personal Achievement Based on the Andrew Carnegie Formula for Money-Making,Napoleon Hill,4.26,5661,1945,9.3528932
"Love and Respect: The Love She Most Desires, The Respect He Desperately Needs",Emerson Eggerichs,4.16,56480,2004,9.3518947
Seasons of Life,Jim Rohn,4.32,1408,1981,9.3486027
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",Tony Robbins,4.15,70435,1992,9.3477885
On the Shortness of Life: Life Is Long if You Know How to Use It,Seneca,4.18,34841,,9.3420906
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.1,218371,2009,9.339195
The Gift of Fear: Survival Signals That Protect Us from Violence,Gavin de Becker,4.17,42791,1996,9.3313524
Peak: Secrets from the New Science of Expertise,K. Anders Ericsson,4.21,16989,2016,9.3301678
Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,4.13,106908,2017,9.3290102
Napoleon Hill's Keys to Success: The 17 Principles of Personal Achievement,Napoleon Hill,4.29,2640,1994,9.3216039
"The Daily Laws: 366 Meditations on Power, Seduction, Mastery, Strategy and Human Nature",Robert Greene,4.29,2638,,9.3212748
Thinking In Systems: A Primer,Donella H. Meadows,4.21,16487,2008,9.3171416
Start Where You Are: A Guide to Compassionate Living,Pema Chödrön,4.22,12837,1994,9.3084635
A Course in Miracles,Foundation for Inner Peace,4.18,32136,1976,9.3069918
The Art of Exceptional Living,Jim Rohn,4.28,3124,,9.294711
